onset	duration	trial_type	value	sample
378.7106	0.0	trigger	1	1893553
378.773	0.0	missing_trigger	6	1893865
378.773	0.0	trigger	1	1893865
378.8356	0.0	missing_trigger	6	1894178
378.8356	0.0	trigger	1	1894178
378.898	0.0	missing_trigger	6	1894490
378.898	0.0	trigger	1	1894490
378.9604	0.0	missing_trigger	6	1894802
378.9604	0.0	trigger	1	1894802
379.023	0.0	missing_trigger	6	1895115
379.023	0.0	trigger	1	1895115
379.0854	0.0	missing_trigger	6	1895427
379.0854	0.0	trigger	1	1895427
379.148	0.0	missing_trigger	6	1895740
379.148	0.0	trigger	1	1895740
379.2104	0.0	missing_trigger	6	1896052
379.2104	0.0	trigger	1	1896052
379.2728	0.0	missing_trigger	6	1896364
379.2728	0.0	trigger	1	1896364
379.3354	0.0	missing_trigger	6	1896677
379.3354	0.0	trigger	1	1896677
379.3978	0.0	missing_trigger	6	1896989
379.3978	0.0	trigger	1	1896989
379.4604	0.0	missing_trigger	6	1897302
379.4604	0.0	trigger	1	1897302
379.5228	0.0	missing_trigger	6	1897614
379.5228	0.0	trigger	1	1897614
379.5852	0.0	missing_trigger	6	1897926
379.5852	0.0	trigger	1	1897926
379.6478	0.0	missing_trigger	6	1898239
379.6478	0.0	trigger	1	1898239
379.7102	0.0	missing_trigger	6	1898551
379.7102	0.0	trigger	1	1898551
379.7728	0.0	missing_trigger	6	1898864
379.7728	0.0	trigger	1	1898864
379.8352	0.0	missing_trigger	6	1899176
379.8352	0.0	trigger	1	1899176
379.8976	0.0	missing_trigger	6	1899488
379.8976	0.0	trigger	1	1899488
379.9608	0.0	trigger	1	1899804
379.9608	0.0002	Response/R128	3	1899804
380.0232	0.0	missing_trigger	6	1900116
380.0232	0.0	trigger	1	1900116
380.0858	0.0	missing_trigger	6	1900429
380.0858	0.0	trigger	1	1900429
380.1482	0.0	missing_trigger	6	1900741
380.1482	0.0	trigger	1	1900741
380.2108	0.0	missing_trigger	6	1901054
380.2108	0.0	trigger	1	1901054
380.2732	0.0	missing_trigger	6	1901366
380.2732	0.0	trigger	1	1901366
380.3356	0.0	missing_trigger	6	1901678
380.3356	0.0	trigger	1	1901678
380.3982	0.0	missing_trigger	6	1901991
380.3982	0.0	trigger	1	1901991
380.4606	0.0	missing_trigger	6	1902303
380.4606	0.0	trigger	1	1902303
380.5232	0.0	missing_trigger	6	1902616
380.5232	0.0	trigger	1	1902616
380.5856	0.0	missing_trigger	6	1902928
380.5856	0.0	trigger	1	1902928
380.648	0.0	missing_trigger	6	1903240
380.648	0.0	trigger	1	1903240
380.7106	0.0	missing_trigger	6	1903553
380.7106	0.0	trigger	1	1903553
380.773	0.0	missing_trigger	6	1903865
380.773	0.0	trigger	1	1903865
380.8356	0.0	missing_trigger	6	1904178
380.8356	0.0	trigger	1	1904178
380.898	0.0	missing_trigger	6	1904490
380.898	0.0	trigger	1	1904490
380.9604	0.0	missing_trigger	6	1904802
380.9604	0.0	trigger	1	1904802
381.023	0.0	missing_trigger	6	1905115
381.023	0.0	trigger	1	1905115
381.0854	0.0	missing_trigger	6	1905427
381.0854	0.0	trigger	1	1905427
381.148	0.0	missing_trigger	6	1905740
381.148	0.0	trigger	1	1905740
381.2104	0.0	missing_trigger	6	1906052
381.2104	0.0	trigger	1	1906052
381.2728	0.0	missing_trigger	6	1906364
381.2728	0.0	trigger	1	1906364
381.3354	0.0	missing_trigger	6	1906677
381.3354	0.0	trigger	1	1906677
381.3978	0.0	missing_trigger	6	1906989
381.3978	0.0	trigger	1	1906989
381.4604	0.0	missing_trigger	6	1907302
381.4604	0.0	trigger	1	1907302
381.5228	0.0	missing_trigger	6	1907614
381.5228	0.0	trigger	1	1907614
381.5852	0.0	missing_trigger	6	1907926
381.5852	0.0	trigger	1	1907926
381.6478	0.0	missing_trigger	6	1908239
381.6478	0.0	trigger	1	1908239
381.7102	0.0	missing_trigger	6	1908551
